purchase_id,user_id,purchase_datetime,amount,item_type,currency
1,1,2024-05-10,2.99,small_pack,USD
2,1,2024-04-21,29.99,large_pack,USD
3,1,2024-04-13,1.99,small_pack,USD
4,1,2024-04-18,2.99,small_pack,USD
5,1,2024-05-04,9.99,medium_pack,USD
6,1,2024-05-15,2.99,small_pack,USD
7,27,2024-02-06,2.99,small_pack,MXN
8,36,2024-02-24,49.99,large_pack,USD
9,36,2024-03-02,14.99,medium_pack,USD
10,36,2024-03-10,1.99,small_pack,USD
11,36,2024-03-23,2.99,small_pack,USD
12,36,2024-03-31,3.99,small_pack,USD
13,36,2024-02-27,4.99,small_pack,USD
14,36,2024-04-11,99.99,large_pack,USD
15,36,2024-03-17,1.99,small_pack,USD
16,36,2024-03-23,9.99,medium_pack,USD
17,46,2024-03-29,19.99,medium_pack,USD
18,46,2024-03-31,4.99,small_pack,USD
19,46,2024-04-27,4.99,small_pack,USD
20,46,2024-04-19,3.99,small_pack,USD
21,46,2024-05-25,1.99,small_pack,USD
22,46,2024-04-16,1.99,small_pack,USD
23,46,2024-05-04,19.99,medium_pack,USD
24,51,2024-02-23,1.99,small_pack,USD
25,51,2024-02-25,2.99,small_pack,USD
26,51,2024-02-28,4.99,small_pack,USD
27,51,2024-02-26,9.99,medium_pack,USD
28,51,2024-03-02,1.99,small_pack,USD
29,51,2024-03-09,1.99,small_pack,USD
30,65,2024-01-03,2.99,small_pack,USD
31,65,2024-01-11,14.99,medium_pack,USD
32,65,2024-01-07,3.99,small_pack,USD
33,65,2024-01-15,3.99,small_pack,USD
34,65,2024-01-27,2.99,small_pack,USD
35,68,2024-05-04,3.99,small_pack,USD
36,68,2024-04-18,1.99,small_pack,USD
37,68,2024-04-30,3.99,small_pack,USD
38,86,2024-06-27,4.99,small_pack,USD
39,86,2024-06-08,4.99,small_pack,USD
40,86,2024-06-17,14.99,medium_pack,USD
41,86,2024-06-08,4.99,small_pack,USD
42,87,2024-02-02,2.99,small_pack,USD
43,87,2024-01-20,14.99,medium_pack,USD
44,87,2024-01-15,4.99,small_pack,USD
45,87,2024-01-29,2.99,small_pack,USD
46,95,2024-05-19,14.99,medium_pack,BRL
47,95,2024-06-10,4.99,small_pack,BRL
48,95,2024-05-29,49.99,large_pack,BRL
49,95,2024-06-01,1.99,small_pack,BRL
50,95,2024-05-29,2.99,small_pack,BRL
51,98,2024-05-02,1.99,small_pack,EUR
52,98,2024-04-05,2.99,small_pack,EUR
53,98,2024-05-27,4.99,small_pack,EUR
54,98,2024-04-09,14.99,medium_pack,EUR
55,98,2024-03-30,2.99,small_pack,EUR
56,98,2024-07-04,2.99,small_pack,EUR
57,98,2024-03-31,9.99,medium_pack,EUR
58,101,2024-06-11,9.99,medium_pack,USD
59,101,2024-07-09,2.99,small_pack,USD
60,101,2024-10-29,3.99,small_pack,USD
61,101,2024-06-25,4.99,small_pack,USD
62,101,2024-06-17,4.99,small_pack,USD
63,101,2024-06-21,9.99,medium_pack,USD
64,118,2024-06-10,4.99,small_pack,USD
65,118,2024-06-02,4.99,small_pack,USD
66,118,2024-06-28,4.99,small_pack,USD
67,118,2024-04-25,9.99,medium_pack,USD
68,119,2024-02-10,29.99,large_pack,EUR
69,119,2024-04-11,14.99,medium_pack,EUR
70,119,2024-02-16,19.99,medium_pack,EUR
71,119,2024-02-16,1.99,small_pack,EUR
72,124,2024-01-05,2.99,small_pack,USD
73,124,2024-03-02,19.99,medium_pack,USD
74,124,2024-01-17,9.99,medium_pack,USD
75,124,2024-01-22,4.99,small_pack,USD
76,124,2024-02-02,1.99,small_pack,USD
77,124,2024-02-19,1.99,small_pack,USD
78,129,2024-02-07,9.99,medium_pack,USD
79,129,2024-02-09,49.99,large_pack,USD
80,129,2024-02-12,1.99,small_pack,USD
81,129,2024-03-10,4.99,small_pack,USD
82,129,2024-01-17,1.99,small_pack,USD
83,129,2024-02-04,9.99,medium_pack,USD
84,134,2024-03-23,3.99,small_pack,USD
85,134,2024-04-06,14.99,medium_pack,USD
86,134,2024-03-03,4.99,small_pack,USD
87,145,2024-07-01,19.99,medium_pack,USD
88,145,2024-06-12,9.99,medium_pack,USD
89,145,2024-07-01,19.99,medium_pack,USD
90,145,2024-06-14,14.99,medium_pack,USD
91,151,2024-02-18,2.99,small_pack,EUR
92,151,2024-04-06,9.99,medium_pack,EUR
93,151,2024-03-08,3.99,small_pack,EUR
94,151,2024-02-15,3.99,small_pack,EUR
95,151,2024-02-25,14.99,medium_pack,EUR
96,165,2024-02-20,1.99,small_pack,EUR
97,165,2024-01-29,1.99,small_pack,EUR
98,165,2024-01-28,3.99,small_pack,EUR
99,165,2024-02-01,4.99,small_pack,EUR
100,165,2024-04-03,29.99,large_pack,EUR
101,165,2024-02-05,99.99,large_pack,EUR
102,175,2024-06-24,2.99,small_pack,USD
103,175,2024-07-08,14.99,medium_pack,USD
104,181,2024-09-29,4.99,small_pack,USD
105,181,2024-06-28,3.99,small_pack,USD
106,181,2024-07-10,14.99,medium_pack,USD
107,181,2024-07-04,2.99,small_pack,USD
108,181,2024-08-05,1.99,small_pack,USD
109,181,2024-06-30,14.99,medium_pack,USD
110,181,2024-07-01,49.99,large_pack,USD
111,181,2024-06-30,3.99,small_pack,USD
112,190,2024-06-14,19.99,medium_pack,USD
113,190,2024-04-19,1.99,small_pack,USD
114,190,2024-05-03,9.99,medium_pack,USD
115,190,2024-04-13,9.99,medium_pack,USD
116,190,2024-04-18,19.99,medium_pack,USD
117,190,2024-05-02,3.99,small_pack,USD
118,190,2024-06-04,4.99,small_pack,USD
119,198,2024-07-08,9.99,medium_pack,USD
120,198,2024-05-18,4.99,small_pack,USD
121,198,2024-07-04,14.99,medium_pack,USD
122,198,2024-05-21,2.99,small_pack,USD
123,198,2024-05-25,1.99,small_pack,USD
124,206,2024-05-06,1.99,small_pack,USD
125,206,2024-03-13,1.99,small_pack,USD
126,206,2024-03-10,4.99,small_pack,USD
127,206,2024-04-22,4.99,small_pack,USD
128,206,2024-04-05,1.99,small_pack,USD
129,206,2024-03-12,19.99,medium_pack,USD
130,208,2024-06-01,49.99,large_pack,EUR
131,208,2024-06-16,2.99,small_pack,EUR
132,208,2024-05-24,4.99,small_pack,EUR
133,229,2024-07-23,14.99,medium_pack,USD
134,229,2024-06-13,19.99,medium_pack,USD
135,229,2024-06-23,19.99,medium_pack,USD
136,229,2024-07-21,19.99,medium_pack,USD
137,229,2024-07-11,19.99,medium_pack,USD
138,229,2024-06-15,2.99,small_pack,USD
139,229,2024-06-27,19.99,medium_pack,USD
140,229,2024-06-25,4.99,small_pack,USD
141,240,2024-05-16,2.99,small_pack,USD
142,240,2024-03-24,14.99,medium_pack,USD
143,240,2024-02-28,1.99,small_pack,USD
144,240,2024-02-29,1.99,small_pack,USD
145,240,2024-02-13,29.99,large_pack,USD
146,244,2024-04-12,29.99,large_pack,USD
