user_id,install_date,country,platform,acquisition_channel,is_payer,sessions
1,2024-04-12,US,Android,Organic,1,19
2,2024-06-28,FR,iOS,Organic,0,15
3,2024-04-02,US,Android,TikTok Ads,0,15
4,2024-01-15,UK,Android,Influencer,0,24
5,2024-04-16,ES,iOS,Organic,0,18
6,2024-03-12,BR,Android,TikTok Ads,0,21
7,2024-01-21,US,Android,Facebook Ads,0,22
8,2024-04-12,BR,iOS,Organic,0,19
9,2024-05-01,BR,Android,Influencer,0,26
10,2024-03-15,BR,Android,Facebook Ads,0,15
11,2024-03-28,US,Android,Google Ads,0,17
12,2024-04-26,CA,iOS,Facebook Ads,0,22
13,2024-04-09,BR,Android,Google Ads,0,19
14,2024-04-13,CA,iOS,Facebook Ads,0,15
15,2024-05-31,US,Android,Facebook Ads,0,18
16,2024-05-10,US,iOS,Influencer,0,21
17,2024-05-29,US,Android,Organic,0,16
18,2024-02-22,ES,iOS,Google Ads,0,16
19,2024-01-02,FR,iOS,Organic,0,23
20,2024-03-28,UK,iOS,Organic,0,22
21,2024-06-06,UK,Android,Influencer,0,27
22,2024-02-07,MX,iOS,Facebook Ads,0,25
23,2024-05-09,MX,Android,Google Ads,0,17
24,2024-01-21,ES,iOS,TikTok Ads,0,15
25,2024-06-09,MX,Android,TikTok Ads,0,17
26,2024-02-27,DE,Android,Organic,0,17
27,2024-01-22,MX,iOS,Google Ads,1,19
28,2024-03-29,UK,iOS,TikTok Ads,0,17
29,2024-02-18,FR,iOS,Organic,0,25
30,2024-02-28,CA,Android,Organic,0,16
31,2024-06-18,US,iOS,Organic,0,13
32,2024-01-15,FR,Android,Organic,0,17
33,2024-06-23,US,iOS,TikTok Ads,0,25
34,2024-02-20,US,Android,Google Ads,0,20
35,2024-04-17,UK,Android,Facebook Ads,0,20
36,2024-02-24,CA,iOS,Organic,1,20
37,2024-03-04,ES,Android,Organic,0,16
38,2024-05-10,CA,Android,Facebook Ads,0,17
39,2024-02-20,US,iOS,Influencer,0,19
40,2024-05-14,US,Android,TikTok Ads,0,24
41,2024-01-21,BR,iOS,Influencer,0,17
42,2024-03-13,UK,Android,Facebook Ads,0,19
43,2024-06-15,US,iOS,Organic,0,14
44,2024-01-18,CA,Android,Organic,0,24
45,2024-05-11,MX,iOS,Influencer,0,14
46,2024-03-29,CA,Android,Facebook Ads,1,20
47,2024-02-29,DE,Android,Influencer,0,20
48,2024-01-14,BR,iOS,Google Ads,0,22
49,2024-01-09,ES,iOS,TikTok Ads,0,22
50,2024-03-30,ES,Android,Organic,0,13
51,2024-02-22,US,iOS,Google Ads,1,22
52,2024-05-09,CA,Android,Google Ads,0,17
53,2024-03-24,UK,Android,Facebook Ads,0,14
54,2024-04-01,US,Android,TikTok Ads,0,24
55,2024-04-20,US,Android,Cross-promo,0,16
56,2024-06-20,BR,iOS,Organic,0,23
57,2024-01-08,BR,Android,Facebook Ads,0,20
58,2024-06-23,ES,iOS,TikTok Ads,0,12
59,2024-02-04,US,iOS,Google Ads,0,17
60,2024-03-21,MX,iOS,Facebook Ads,0,17
61,2024-06-12,MX,Android,TikTok Ads,0,26
62,2024-02-19,US,iOS,Google Ads,0,24
63,2024-04-13,BR,Android,Facebook Ads,0,21
64,2024-05-11,US,Android,Organic,0,15
65,2024-01-02,US,iOS,Organic,1,9
66,2024-05-13,BR,Android,Cross-promo,0,26
67,2024-02-23,CA,iOS,Influencer,0,22
68,2024-04-15,US,iOS,Google Ads,1,23
69,2024-01-04,DE,Android,Influencer,0,18
70,2024-02-23,FR,iOS,Organic,0,17
71,2024-05-25,FR,iOS,Organic,0,21
72,2024-02-13,DE,iOS,Influencer,0,25
73,2024-06-10,ES,Android,Facebook Ads,0,17
74,2024-01-14,US,Android,Facebook Ads,0,26
75,2024-04-04,CA,iOS,Influencer,0,17
76,2024-02-17,US,iOS,Facebook Ads,0,24
77,2024-01-15,UK,iOS,Facebook Ads,0,20
78,2024-02-09,UK,iOS,Organic,0,22
79,2024-03-22,BR,Android,Cross-promo,0,15
80,2024-04-20,US,iOS,Cross-promo,0,23
81,2024-02-22,BR,Android,Organic,0,22
82,2024-01-24,MX,Android,Influencer,0,9
83,2024-06-02,UK,Android,Google Ads,0,21
84,2024-05-03,BR,iOS,Organic,0,18
85,2024-02-10,DE,Android,Organic,0,19
86,2024-06-05,UK,Android,Organic,1,11
87,2024-01-15,CA,iOS,Organic,1,19
88,2024-02-14,MX,Android,Google Ads,0,32
89,2024-03-05,UK,Android,Facebook Ads,0,16
90,2024-03-29,BR,iOS,Cross-promo,0,28
91,2024-03-11,MX,Android,Organic,0,29
92,2024-01-09,MX,iOS,Google Ads,0,17
93,2024-03-28,ES,iOS,Organic,0,20
94,2024-05-08,FR,Android,Organic,0,30
95,2024-05-15,BR,Android,Influencer,1,17
96,2024-03-03,BR,Android,Facebook Ads,0,16
97,2024-05-18,FR,iOS,Influencer,0,22
98,2024-03-21,FR,Android,Influencer,1,25
99,2024-05-15,ES,Android,TikTok Ads,0,21
100,2024-06-11,BR,Android,Organic,0,22
101,2024-06-11,US,Android,Cross-promo,1,17
102,2024-02-02,UK,Android,Organic,0,21
103,2024-05-02,UK,iOS,Influencer,0,20
104,2024-01-05,BR,iOS,Google Ads,0,25
105,2024-02-10,US,iOS,Organic,0,20
106,2024-01-28,CA,Android,Google Ads,0,16
107,2024-05-14,UK,iOS,Facebook Ads,0,23
108,2024-03-12,US,Android,TikTok Ads,0,23
109,2024-01-12,US,iOS,Facebook Ads,0,22
110,2024-06-10,DE,Android,Organic,0,22
111,2024-02-02,MX,iOS,Organic,0,23
112,2024-02-17,US,iOS,Organic,0,24
113,2024-05-30,BR,iOS,Facebook Ads,0,17
114,2024-03-02,DE,iOS,Organic,0,20
